"","Species","Length"
"189","Ostorhinchus cavitensis",7.5
"190","Ostorhinchus chalcius",11.6
"191","Ostorhinchus cheni",13
"192","Ostorhinchus chrysopomus",10
"193","Ostorhinchus chrysotaenia",12
"194","Ostorhinchus cladophilos",6
"195","Ostorhinchus compressus",12
"196","Ostorhinchus cookii",10
"197","Ostorhinchus cyanosoma",8
"198","Ostorhinchus cyanotaenia",NA
"199","Ostorhinchus dispar",5
"200","Ostorhinchus diversus",NA
"201","Ostorhinchus doederleini",14
"202","Ostorhinchus endekataenia",14
"203","Ostorhinchus fasciatus",12.6
"204","Ostorhinchus flagelliferus",13
"205","Ostorhinchus flavus",9.59
"206","Ostorhinchus fleurieu",12.5
"207","Ostorhinchus franssedai",7.5
"208","Ostorhinchus fukuii",9.34
"209","Ostorhinchus griffini",13.5
"210","Ostorhinchus gularis",6.6
"211","Ostorhinchus hartzfeldii",12
"212","Ostorhinchus hoevenii",6
"213","Ostorhinchus holotaenia",8
"214","Ostorhinchus ishigakiensis",6
"215","Ostorhinchus jenkinsi",8.7
"216","Ostorhinchus kiensis",8
"217","Ostorhinchus komodoensis",10
"218","Ostorhinchus leptofasciatus",5
"219","Ostorhinchus leslie",4.9
"220","Ostorhinchus limenus",14
"221","Ostorhinchus lineomaculatus",6.5
"222","Ostorhinchus luteus",4.42
"223","Ostorhinchus maculiferus",14
"224","Ostorhinchus margaritophorus",6.5
"225","Ostorhinchus melanoproctus",4
"226","Ostorhinchus melanopterus",NA
"227","Ostorhinchus microspilos",7
"228","Ostorhinchus moluccensis",9
"229","Ostorhinchus monospilus",7.8
"230","Ostorhinchus multilineatus",10
"231","Ostorhinchus mydrus",NA
"232","Ostorhinchus nanus",6
"233","Ostorhinchus neotes",2.7
"234","Ostorhinchus nigripes",7
"235","Ostorhinchus nigrocincta",9.1
"236","Ostorhinchus nigrofasciatus",10
"237","Ostorhinchus norfolcensis",15
"238","Ostorhinchus notatus",10
"239","Ostorhinchus noumeae",NA
"240","Ostorhinchus novemfasciatus",10
"241","Ostorhinchus ocellicaudus",5
"242","Ostorhinchus oxina",7.1
"243","Ostorhinchus oxygrammus",3.87
"244","Ostorhinchus pallidofasciatus",7
"245","Ostorhinchus parvulus",4
"246","Ostorhinchus pleuron",10.4
"247","Ostorhinchus properuptus",6
"248","Ostorhinchus pselion",4
"249","Ostorhinchus quinquestriatus",3.65
"250","Ostorhinchus radcliffei",NA
"251","Ostorhinchus regula",3.84
"252","Ostorhinchus relativus",7.38
"253","Ostorhinchus rubrimacula",4.47
"254","Ostorhinchus rueppellii",12
"255","Ostorhinchus schlegeli",12
"256","Ostorhinchus sealei",10
"257","Ostorhinchus selas",4
"258","Ostorhinchus semilineatus",12
"259","Ostorhinchus septemstriatus",5.3
"260","Ostorhinchus sinus",8.49
"261","Ostorhinchus spilurus",7.35
"262","Ostorhinchus taeniophorus",11.5
"263","Ostorhinchus urostigmus",15
"264","Ostorhinchus victoriae",8
"265","Ostorhinchus wassinki",7
"266","Ostorhinchus wilsoni",NA
"267","Paroncheilus affinis",11
"268","Paxton concilians",7.55
"269","Phaeoptyx conklini",9
"270","Phaeoptyx pigmentaria",8
"271","Phaeoptyx xenus",7.5
"272","Pristiapogon abrogramma",9.5
"273","Pristiapogon exostigma",12
"274","Pristiapogon fraenatus",11
"275","Pristiapogon kallopterus",15.5
"276","Pristiapogon taeniopterus",19.6
"277","Pristicon rhodopterus",15
"278","Pristicon rufus",8
"279","Pristicon trimaculatus",14.16
